"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"EICU","aki1_7d","OR",90,1815,485,442,0.793766217096381,0.627554477000848,1.00400017925878,0.0540173429410861,"G1_ge90",FALSE
"EICU","aki1_7d","OR",92,1815,485,442,0.782000095146655,0.61576725592309,0.993109235554672,0.0437258900086865,"G1_ge90",FALSE
"EICU","aki1_7d","OR",94,1815,485,442,0.774755652024336,0.608170962788594,0.98696971258114,0.0388107367896532,"G1_ge90",FALSE
"EICU","aki1_7d","OR",96,1815,485,442,0.771829188693864,0.604157833280555,0.986034217722692,0.0382144632035749,"G1_ge90",FALSE
"EICU","aki1_7d","OR",98,1815,485,442,0.773091480081044,0.603045493647198,0.991086813300285,0.0422911769567476,"G1_ge90",FALSE
"EICU","aki1_7d","OR",100,1815,485,442,0.778481980418826,0.60407515392685,1.0032430400377,0.0529926629675735,"G1_ge90",FALSE
"EICU","aki1_7d","OR",102,1815,485,442,0.788005004410703,0.606435766517893,1.02393678153545,0.0745900876050632,"G1_ge90",FALSE
"EICU","aki1_7d","OR",104,1815,485,442,0.801727657879804,0.609326065395803,1.05488222794459,0.114477226848031,"G1_ge90",FALSE
"EICU","aki1_7d","OR",106,1815,485,442,0.819779362850456,0.612044279609493,1.09802219568866,0.182590323304395,"G1_ge90",FALSE
"EICU","aki1_7d","OR",108,1815,485,442,0.842352882211103,0.614070583811049,1.15549970455463,0.287427023868111,"G1_ge90",FALSE
"EICU","aki1_7d","OR",110,1815,485,442,0.869706801469059,0.615104274421867,1.229693812862,0.429550574706619,"G1_ge90",FALSE
"EICU","aki1_7d","OR",112,1815,485,442,0.902169472223192,0.615044201483217,1.323335387357,0.598393682500712,"G1_ge90",FALSE
"EICU","aki1_7d","OR",114,1815,485,442,0.94014446598033,0.61393258839024,1.43968838538282,0.776503109706265,"G1_ge90",FALSE
"EICU","aki1_7d","OR",116,1815,485,442,0.984117629626018,0.611892466848805,1.58277403532742,0.947349621093242,"G1_ge90",FALSE
