"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","egfr","G2","48h","new_rrt","psm",NA,8,2,TRUE,762,0.010498687664042,0.0026246719160105,4.03183014117352,0.852495644084842,19.0683136037907,0.0786295060919656,0.00787401574803148,-0.000228870875919178,0.0159769023719821,0.0570154184565004
"EICU","egfr","G2","48h","new_rrt","dr",NA,8,2,TRUE,762,0.010498687664042,0.0026246719160105,3.98933193166495,0.855272819660729,18.607827695629,0.0782344907645578,0.00785253639218727,-0.000215964256664779,0.0159210370410393,0.0566393834145841
"EICU","egfr","G2","48h","death","psm",NA,14,12,TRUE,762,0.0183727034120735,0.015748031496063,1.16978609625667,0.537206253911016,2.54725163944588,0.692859656517058,0.00262467191601049,-0.0103864292019632,0.0156357730339842,0.692616299071342
"EICU","egfr","G2","48h","death","dr",NA,14,12,TRUE,762,0.0183727034120735,0.015748031496063,1.14775238893247,0.517925204635209,2.54348607580901,0.734281746671974,0.00197355349476451,-0.0113140756059607,0.0152611825954898,0.771006754832862
"EICU","egfr","G2","7d","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",74,61,FALSE,742,0.0997304582210243,0.0822102425876011,1.23672327476182,0.866635381526182,1.76485346772261,0.241574124311273,0.0175202156334232,-0.0117482071890885,0.0467886384559349,0.240877994367591
"EICU","egfr","G2","7d","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",74,61,FALSE,742,0.0997304582210243,0.0822102425876011,1.22122962579038,0.848885200172605,1.75689457020204,0.281445263377901,0.0163545851792125,-0.0133530871203566,0.0460622574787816,0.280757533550966
"EICU","egfr","G2","7d","aki2","psm",NA,46,36,FALSE,742,0.0619946091644205,0.0485175202156334,1.29613664167925,0.827413179530372,2.03038848723328,0.257339829942537,0.0134770889487871,-0.00977810855353966,0.0367322864511138,0.256190790694007
"EICU","egfr","G2","7d","aki2","dr",NA,46,36,FALSE,742,0.0619946091644205,0.0485175202156334,1.30981206490142,0.825293676632045,2.07878443024375,0.252122279115908,0.0139529194968868,-0.00987186057816884,0.0377776995719424,0.251208352387368
"EICU","egfr","G2","7d","new_rrt","psm",NA,13,3,TRUE,742,0.0175202156334232,0.00404312668463612,4.39277549137263,1.24550940970937,15.4928388073011,0.0213689784471868,0.0134770889487871,0.0029834865010691,0.023970691396505,0.0119320189975641
"EICU","egfr","G2","7d","new_rrt","dr",NA,13,3,TRUE,742,0.0175202156334232,0.00404312668463612,4.07049946569736,1.19109551157305,13.9106945994282,0.0251616830760698,0.0126695776375478,0.00263295929880812,0.0227061959762875,0.0134658538857138
