"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"IUH","aki1_48h","RD",52,1235,293,301,0.113895256462181,0.0461211289886872,0.181669383935676,0.000988413400212386,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",54,1235,293,301,0.0946804991971346,0.028324228328781,0.161036770065488,0.0051639015848715,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",56,1235,293,301,0.0766116663254293,0.0111749713426477,0.142048361308211,0.0217491992829364,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",58,1235,293,301,0.0597311994912636,-0.00492827315753903,0.124390672140066,0.0702010916678883,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",60,1235,293,301,0.0440815403388353,-0.0196355862965588,0.107798666974229,0.175102187424149,"G2_60_89",FALSE
"IUH","aki1_48h","RD",62,1235,293,301,0.0296896401277049,-0.0326963522835281,0.0920756325389379,0.350939458071997,"G2_60_89",FALSE
"IUH","aki1_48h","RD",64,1235,293,301,0.0165204885788838,-0.0440775311476612,0.0771185083054289,0.593103905282458,"G2_60_89",FALSE
"IUH","aki1_48h","RD",66,1235,293,301,0.00452358502874607,-0.0538515969361368,0.0628987669936289,0.879278826362488,"G2_60_89",FALSE
"IUH","aki1_48h","RD",68,1235,293,301,-0.00635157118633468,-0.0621448502467621,0.0494417078740927,0.823435374082657,"G2_60_89",FALSE
"IUH","aki1_48h","RD",70,1235,293,301,-0.0161554807299834,-0.0691259536952827,0.0368149922353159,0.549986070849005,"G2_60_89",FALSE
"IUH","aki1_48h","RD",72,1235,293,301,-0.024938644265827,-0.0749978744248969,0.0251205858932428,0.328847377191698,"G2_60_89",FALSE
"IUH","aki1_48h","RD",74,1235,293,301,-0.0327515624574918,-0.0799901745587397,0.0144870496437562,0.17417484099192,"G2_60_89",FALSE
"IUH","aki1_48h","RD",76,1235,293,301,-0.0396447359686027,-0.0843477031508602,0.00505823121365481,0.0821716982327825,"G2_60_89",FALSE
"IUH","aki1_48h","RD",78,1235,293,301,-0.045668665462786,-0.0883112589303561,-0.00302607199521586,0.0358090860498826,"G2_60_89",FALSE
"IUH","aki1_48h","RD",80,1235,293,301,-0.0508738516036676,-0.0920878779908233,-0.00965982521651188,0.0155466181668776,"G2_60_89",FALSE
